what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1492872756835
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1492872756863
started,bundle,org.eclipse.php.debug.daemon,2.1.1.v20090707-1108,"org.eclipse.php.debug.daemon",1492872756873
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1492872756889
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1492872757073
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1492872757091
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1492872757231
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1492872757466
started,bundle,org.eclipse.php.server.core,2.1.1.v20090707-1108,"org.eclipse.php.server.core",1492872757499
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1492872757590
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1492872757591
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1492872757690
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1492872757769
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1492872757874
started,bundle,org.eclipse.php.debug.ui,2.1.1.v20090921-1100,"org.eclipse.php.debug.ui",1492872758238
started,bundle,org.eclipse.php.debug.core,2.1.1.v20090921-1100,"org.eclipse.php.debug.core",1492872758317
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1492873276203
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1492873276204
started,bundle,org.eclipse.equinox.p2.metadata,1.0.101.R35x_v20100112,"org.eclipse.equinox.p2.metadata",1492873276332
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.update",1492873277238
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492873277573
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.extensionlocation",1492873278053
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.101.R35x_20100105,"org.eclipse.equinox.p2.updatesite",1492873285311
started,bundle,org.eclipse.equinox.p2.publisher,1.0.1.R35x_20100105,"org.eclipse.equinox.p2.publisher",1492873285341
error,log,,,"Unable to load the repository file:/C:/Users/Karl/Downloads/eclipse/PyDev/",1492873285402
error,log,,,"Unable to load the repository file:/C:/Users/Karl/Downloads/eclipse/PyDev/plugins/",1492873285407
error,log,,,"Unable to load the repository file:/C:/Users/Karl/Downloads/eclipse/",1492873289793
error,log,,,"Unable to load the repository jar:file:/C:/Users/Karl/Downloads/PyDev%202.2.1.zip!/",1492873291804
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.0.101.R35x_v20090721,"org.eclipse.equinox.p2.artifact.repository",1492873307867
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,1.0.101.R35x_20090820-1821,"org.eclipse.equinox.p2.touchpoint.eclipse",1492873308325
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492873344044
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492873344727
error,log,,,"An error occurred while collecting items to be installed",1492873374201
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492873392041
activated,view,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.ui.explorer",1492873395137
activated,view,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.ui.explorer",1492873395220
closed,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1492873395275
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492873401156
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492873415578
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.help.aboutAction",1492873415588
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492873427681
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492873442522
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492873449507
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492873456179
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1492873456193
started,bundle,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser",1492873461646
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1492873461777
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1492873461836
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.debug.ui",1492873506527
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492873522329
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492873609020
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1492873609033
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1492873610941
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.exit",1492873611362
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1492873611471
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090610-1638,"org.eclipse.dltk.testing",1492873611500
stopped,bundle,org.eclipse.dltk.debug.ui,1.0.1.v20091111-1837,"org.eclipse.dltk.debug.ui",1492873611523
stopped,bundle,org.eclipse.dltk.formatter,1.0.1.v20090903-2153,"org.eclipse.dltk.formatter",1492873611542
stopped,bundle,org.eclipse.dltk.rse.ui,1.0.0.v20090610-1638,"org.eclipse.dltk.rse.ui",1492873611549
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090610-1638,"org.eclipse.dltk.validators.externalchecker",1492873611564
stopped,bundle,org.eclipse.dltk.validators.ui,1.0.0.v20090610-1638,"org.eclipse.dltk.validators.ui",1492873611574
stopped,bundle,org.eclipse.php.server.ui,2.1.1.v20090707-1108,"org.eclipse.php.server.ui",1492873611574
stopped,bundle,org.eclipse.php.debug.ui,2.1.1.v20090921-1100,"org.eclipse.php.debug.ui",1492873611575
stopped,bundle,org.eclipse.php.debug.core,2.1.1.v20090921-1100,"org.eclipse.php.debug.core",1492873611575
stopped,bundle,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.ui",1492873611575
stopped,bundle,org.eclipse.dltk.ui,1.0.2.v20100209-1928,"org.eclipse.dltk.ui",1492873611575
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.jaxp.debug.ui",1492873611592
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1492873611603
